,"Table 3.2",,,"Gross disposable household income1 (GDHI) per head at current basic prices",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Â£ per head"
,,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,"20132"
,"NUTS Level 1",,,,,,,,,,,,,,,,,,,
,,"NUTS Level 2",,,,,,,,,,,,,,,,,,
,,,"NUTS Level 3",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"UK","UNITED KINGDOM",,,"10,030","10,522","10,924","11,694","12,275","12,667","13,141","13,521","14,028","14,561","15,211","15,571","16,058","16,775","16,875","17,378","17,559"
,,,,,,,,,,,,,,,,,,,,
"UKC","North East",,,"8,707","8,970","9,183","9,760","10,343","10,626","11,055","11,576","11,832","12,275","12,568","12,834","13,544","14,141","14,199","14,805","14,927"
,,,,,,,,,,,,,,,,,,,,
"UKC1",,"Tees Valley and Durham",,"8,675","8,853","9,093","9,714","10,264","10,535","10,906","11,421","11,745","12,109","12,392","12,612","13,262","13,836","13,915","14,511","14,788"
"UKC11",,,"Hartlepool and Stockton-on-Tees","8,654","8,806","9,095","9,645","10,139","10,528","10,985","11,566","12,014","12,452","12,702","13,012","13,591","14,165","14,377","15,041","15,321"
"UKC12",,,"South Teesside","8,399","8,354","8,650","9,351","9,853","10,024","10,392","10,863","11,186","11,611","11,764","12,056","12,775","13,199","13,347","14,066","14,427"
"UKC13",,,"Darlington","8,898","8,994","9,185","9,760","10,891","11,085","11,470","11,840","12,102","12,354","12,940","12,868","13,702","14,131","13,837","14,414","14,911"
"UKC14",,,"Durham CC","8,799","9,136","9,327","9,949","10,442","10,718","11,038","11,568","11,835","12,143","12,452","12,640","13,251","13,935","13,977","14,473","14,659"
,,,,,,,,,,,,,,,,,,,,
"UKC2",,"Northumberland and Tyne and Wear",,"8,733","9,066","9,257","9,797","10,408","10,701","11,178","11,704","11,903","12,411","12,714","13,017","13,778","14,394","14,435","15,048","15,041"
"UKC21",,,"Northumberland","9,533","9,845","10,241","10,866","11,554","11,814","12,608","12,914","13,311","14,276","14,397","15,149","16,272","16,804","16,819","17,539","17,600"
"UKC22",,,"Tyneside","8,671","9,057","9,150","9,596","10,226","10,517","10,910","11,556","11,615","11,999","12,331","12,499","13,194","13,845","13,863","14,451","14,566"
"UKC23",,,"Sunderland","8,063","8,264","8,506","9,214","9,682","10,010","10,370","10,789","11,171","11,523","11,936","12,125","12,667","13,277","13,416","13,996","13,556"
,,,,,,,,,,,,,,,,,,,,
"UKD","North West",,,"9,149","9,497","9,925","10,534","10,944","11,339","11,791","12,197","12,636","13,006","13,496","13,740","14,290","14,875","14,914","15,407","15,412"
,,,,,,,,,,,,,,,,,,,,
"UKD1",,"Cumbria",,"9,278","9,767","10,166","10,467","11,327","11,555","12,206","12,668","13,261","13,710","14,237","14,461","15,267","16,165","16,132","16,735","17,178"
"UKD11",,,"West Cumbria","8,473","8,940","9,297","9,812","10,605","10,671","11,253","11,773","12,109","12,614","13,363","13,583","14,196","14,942","15,078","15,796","16,603"
"UKD12",,,"East Cumbria","10,039","10,543","10,981","11,076","11,997","12,368","13,078","13,480","14,298","14,694","15,020","15,248","16,227","17,261","17,076","17,572","17,689"
,,,,,,,,,,,,,,,,,,,,
"UKD3",,"Greater Manchester",,"9,024","9,377","9,854","10,536","10,868","11,212","11,542","11,909","12,270","12,628","13,078","13,261","13,684","14,214","14,266","14,747","14,515"
"UKD33",,,"Manchester","10,170","10,584","11,082","11,728","11,957","12,226","12,393","12,589","12,811","13,072","13,451","13,621","13,817","14,213","14,232","14,583","14,081"
"UKD34",,,"Greater Manchester South West","9,008","9,403","9,937","10,683","11,032","11,437","11,810","12,184","12,656","13,005","13,436","13,642","14,197","14,807","14,730","15,174","14,717"
"UKD35",,,"Greater Manchester South East","8,278","8,621","9,108","9,747","9,983","10,422","10,883","11,269","11,809","12,264","12,789","13,078","13,706","14,328","14,608","15,086","14,755"
"UKD36",," ","Greater Manchester North West","9,003","9,335","9,789","10,486","10,890","11,196","11,518","11,920","12,202","12,546","12,993","13,118","13,473","13,981","13,974","14,521","14,552"
"UKD37",,,"Greater Manchester North East","8,882","9,191","9,627","10,294","10,696","10,999","11,303","11,727","12,026","12,392","12,846","12,988","13,386","13,907","13,952","14,505","14,492"
,,,,,,,,,,,,,,,,,,,,
"UKD4",,"Lancashire",,"8,904","9,177","9,438","10,137","10,644","10,947","11,327","11,687","12,179","12,521","13,029","13,342","13,908","14,483","14,587","15,067","14,964"
"UKD41",,,"Blackburn with Darwen","8,011","8,184","8,546","8,792","9,098","9,155","9,581","9,883","10,347","10,633","10,781","10,699","10,935","11,722","11,597","11,845","12,276"
"UKD42",,,"Blackpool","8,940","9,313","9,311","10,074","10,480","10,602","10,490","10,775","10,758","10,953","11,508","11,840","12,413","12,971","13,327","14,187","13,848"
"UKD44",,,"Lancaster and Wyre","9,048","9,369","9,625","10,379","10,909","11,294","11,738","12,087","12,625","13,030","13,602","14,017","14,729","15,278","15,375","15,820","15,655"
"UKD45",,,"Mid Lancashire","9,253","9,552","9,817","10,567","11,171","11,492","11,890","12,231","12,776","13,114","13,606","13,928","14,621","15,193","15,143","15,618","15,497"
"UKD46",,,"East Lancashire","8,814","9,074","9,365","10,139","10,642","11,013","11,499","11,951","12,555","12,932","13,545","13,937","14,294","14,812","14,849","15,304","15,166"
"UKD47",,,"Chorley and West Lancashire","8,847","9,043","9,362","10,048","10,567","10,928","11,339","11,692","12,228","12,588","13,107","13,425","14,150","14,713","15,181","15,640","15,468"
,,,,,,,,,,,,,,,,,,,,
"UKD6",,"Cheshire",,"10,465","10,817","11,450","12,092","12,317","13,053","13,892","14,464","15,151","15,619","16,068","16,396","16,980","17,604","17,588","18,128","18,303"
"UKD61",,,"Warrington","9,827","10,266","10,824","11,820","12,392","12,611","13,119","13,855","14,288","14,711","15,343","15,441","15,783","16,358","16,361","16,872","16,982"
"UKD62",,,"Cheshire East","11,071","11,427","12,116","12,691","12,787","13,689","14,642","15,149","15,937","16,428","16,783","17,141","17,808","18,504","18,410","19,037","19,042"
"UKD63",,,"Cheshire West and Chester","10,177","10,472","11,090","11,599","11,758","12,619","13,528","14,072","14,796","15,265","15,710","16,141","16,780","17,358","17,418","17,877","18,289"
,,,,,,,,,,,,,,,,,,,,
"UKD7",,"Merseyside",,"8,797","9,154","9,549","10,027","10,436","10,859","11,290","11,693","12,014","12,341","12,894","13,136","13,792","14,359","14,380","14,847","15,140"
"UKD71",,,"East Merseyside","7,819","8,118","8,574","9,305","9,864","10,142","10,540","11,019","11,498","11,863","12,517","12,739","13,232","13,755","13,856","14,222","14,648"
"UKD72",,,"Liverpool","8,029","8,326","8,684","9,171","9,724","10,106","10,463","10,911","11,003","11,454","11,858","11,938","12,532","13,092","13,139","13,511","13,959"
"UKD73",,,"Sefton","10,725","11,135","11,552","11,399","11,177","11,749","12,172","12,552","13,216","13,430","13,884","14,233","15,206","15,820","15,803","16,457","16,757"
"UKD74",,,"Wirral","9,540","10,018","10,353","11,024","11,579","12,139","12,731","12,995","13,140","13,341","14,049","14,461","15,175","15,784","15,700","16,307","16,183"
,,,,,,,,,,,,,,,,,,,,
"UKE","Yorkshire and The Humber",,,"9,039","9,507","9,888","10,460","10,849","11,263","11,743","12,111","12,465","12,917","13,294","13,543","13,998","14,554","14,641","15,047","15,252"
,,,,,,,,,,,,,,,,,,,,
"UKE1",,"East Yorkshire and Northern Lincolnshire",,"8,698","9,130","9,592","10,113","10,453","10,911","11,438","11,782","12,157","12,587","12,926","13,168","13,606","14,127","14,408","14,760","15,100"
"UKE11",,,"Kingston upon Hull, City of","7,168","7,584","7,891","8,818","9,377","9,729","9,992","10,157","10,294","10,364","10,654","11,025","11,585","11,930","12,158","12,574","13,046"
"UKE12",,,"East Riding of Yorkshire","9,932","10,342","11,221","11,416","11,487","12,037","12,729","13,195","13,923","14,571","14,800","15,053","15,643","16,348","16,552","16,847","17,025"
"UKE13",,,"North and North East Lincolnshire","8,775","9,227","9,372","9,857","10,270","10,706","11,269","11,631","11,836","12,326","12,804","12,931","13,111","13,580","13,976","14,337","14,742"
,,,,,,,,,,,,,,,,,,,,
"UKE2",,"North Yorkshire",,"10,484","11,133","11,763","11,736","12,111","12,743","13,268","13,569","14,452","15,367","15,718","16,058","16,878","17,497","17,585","18,016","18,160"
"UKE21",,,"York","9,580","10,407","11,098","11,581","11,903","12,481","12,748","12,670","12,988","13,754","14,406","14,592","15,239","15,883","15,865","16,288","15,751"
"UKE22",,,"North Yorkshire CC","10,768","11,362","11,972","11,785","12,177","12,826","13,434","13,859","14,924","15,885","16,140","16,528","17,407","18,022","18,151","18,589","18,969"
,,,,,,,,,,,,,,,,,,,,
"UKE3",,"South Yorkshire",,"8,475","8,915","9,244","9,915","10,439","10,778","11,246","11,639","11,860","12,186","12,480","12,724","13,197","13,705","13,772","14,189","14,345"
"UKE31",,,"Barnsley, Doncaster and Rotherham","8,275","8,690","9,111","9,780","10,257","10,587","11,080","11,327","11,668","12,067","12,454","12,604","13,005","13,632","13,835","14,297","14,410"
"UKE32",,,"Sheffield","8,768","9,245","9,436","10,112","10,707","11,060","11,491","12,097","12,139","12,360","12,518","12,899","13,477","13,810","13,682","14,035","14,252"
,,,,,,,,,,,,,,,,,,,,
"UKE4",,"West Yorkshire",,"9,021","9,454","9,739","10,480","10,808","11,171","11,622","12,007","12,243","12,613","13,066","13,288","13,609","14,185","14,206","14,619","14,822"
"UKE41",,,"Bradford","8,715","9,092","9,492","10,094","10,183","10,517","10,803","11,269","11,318","11,539","11,856","12,100","12,400","12,859","12,784","13,107","13,654"
"UKE42",,,"Leeds","9,511","9,939","10,234","11,001","11,464","11,828","12,248","12,505","12,776","13,235","13,766","14,091","14,425","15,032","15,202","15,766","15,752"
"UKE44",,,"Calderdale and Kirklees","8,900","9,370","9,584","10,389","10,738","11,095","11,660","12,086","12,369","12,737","13,177","13,290","13,616","14,247","14,164","14,511","14,557"
"UKE45",,,"Wakefield","8,583","9,037","9,260","10,042","10,386","10,805","11,373","11,854","12,205","12,614","13,132","13,303","13,633","14,231","14,272","14,598","15,053"
,,,,,,,,,,,,,,,,,,,,
"UKF","East Midlands",,,"9,280","9,618","9,990","10,556","11,095","11,500","12,183","12,524","13,016","13,281","14,017","14,172","14,552","15,086","15,276","15,816","15,893"
,,,,,,,,,,,,,,,,,,,,
"UKF1",,"Derbyshire and Nottinghamshire",,"8,819","9,233","9,643","10,131","10,779","11,228","11,821","12,181","12,610","12,887","13,558","13,775","14,150","14,564","14,686","15,280","15,233"
"UKF11",,,"Derby","8,776","9,169","9,322","9,648","10,163","10,687","11,160","11,448","11,894","12,166","12,373","12,269","12,716","13,007","12,979","13,619","13,788"
"UKF12",,,"East Derbyshire","8,164","8,564","9,072","9,528","10,562","11,019","11,372","11,558","11,967","12,418","13,091","13,027","13,335","13,815","13,984","14,398","14,570"
"UKF13",,,"South and West Derbyshire","9,094","9,396","9,839","10,397","11,002","11,451","12,386","13,056","13,679","13,994","14,683","15,032","15,275","15,842","16,349","17,240","17,516"
"UKF14",,,"Nottingham","7,900","8,342","8,739","9,329","9,521","9,759","9,997","9,893","10,020","10,153","10,633","10,860","11,139","11,549","11,539","11,858","11,757"
"UKF15",,,"North Nottinghamshire","8,525","9,007","9,449","10,030","10,678","11,213","11,723","12,179","12,561","12,699","13,528","13,805","14,319","14,653","14,655","15,115","14,923"
"UKF16",,,"South Nottinghamshire","10,179","10,653","11,076","11,393","12,245","12,708","13,517","13,916","14,420","14,821","15,767","16,182","16,678","17,054","16,996","17,736","17,121"
,,,,,,,,,,,,,,,,,,,,
"UKF2",,"Leicestershire, Rutland and Northamptonshire",,"9,805","10,057","10,412","11,056","11,534","11,906","12,660","13,019","13,486","13,788","14,599","14,622","14,957","15,576","15,805","16,311","16,342"
"UKF21",,,"Leicester","8,023","8,072","8,380","8,924","9,363","9,721","10,073","10,212","10,145","10,295","10,773","10,652","11,044","11,614","11,568","11,898","11,739"
"UKF22",,,"Leicestershire CC and Rutland","10,393","10,759","11,031","11,552","12,051","12,589","13,422","13,844","14,403","14,599","15,327","15,376","15,918","16,601","16,801","17,295","17,207"
"UKF24",,,"West Northamptonshire","10,259","10,487","10,954","11,819","12,318","12,544","13,448","13,880","14,533","15,039","16,156","16,252","16,372","17,006","17,410","18,225","18,674"
"UKF25",,,"North Northamptonshire","9,782","10,015","10,421","11,148","11,570","11,755","12,561","12,947","13,577","14,043","15,032","15,081","15,190","15,741","16,141","16,479","16,465"
,,,,,,,,,,,,,,,,,,,,
"UKF3",,"Lincolnshire",,"9,453","9,758","10,045","10,661","11,004","11,356","12,138","12,376","13,115","13,249","13,986","14,269","14,771","15,460","15,750","16,213","16,758"
"UKF30",,,"Lincolnshire","9,453","9,758","10,045","10,661","11,004","11,356","12,138","12,376","13,115","13,249","13,986","14,269","14,771","15,460","15,750","16,213","16,758"
,,,,,,,,,,,,,,,,,,,,
"UKG","West Midlands",,,"9,118","9,646","10,019","10,596","11,141","11,531","11,968","12,304","12,566","12,970","13,286","13,574","14,073","14,738","14,854","15,195","15,551"
,,,,,,,,,,,,,,,,,,,,
"UKG1",,"Herefordshire, Worcestershire and Warwickshire",,"10,178","10,818","11,244","11,751","12,491","12,989","13,603","14,145","14,660","15,256","15,488","15,865","16,412","17,165","17,369","17,770","18,271"
"UKG11",,,"Herefordshire, County of","9,074","9,693","9,999","10,702","11,429","11,850","12,573","12,997","13,627","14,383","14,546","14,975","15,692","16,800","17,255","17,425","17,776"
"UKG12",,,"Worcestershire","10,177","10,915","11,271","11,502","12,226","12,827","13,294","13,930","14,663","15,344","15,370","15,649","16,174","16,778","16,962","17,395","17,923"
"UKG13",,,"Warwickshire","10,552","11,100","11,644","12,384","13,142","13,554","14,282","14,762","15,007","15,457","15,929","16,390","16,900","17,689","17,830","18,277","18,801"
,,,,,,,,,,,,,,,,,,,,
"UKG2",,"Shropshire and Staffordshire",,"9,269","9,832","10,215","10,687","11,208","11,597","12,178","12,400","12,821","13,314","13,706","14,101","14,626","15,248","15,392","15,686","16,322"
"UKG21",,,"Telford and Wrekin","9,456","9,953","10,146","10,111","10,094","10,620","11,362","11,853","11,796","12,274","12,758","12,904","13,406","14,025","14,427","14,794","15,320"
"UKG22",,,"Shropshire CC","9,807","10,548","10,920","11,173","11,599","12,024","12,679","13,056","13,601","14,300","14,574","15,271","16,103","16,787","16,947","17,274","18,085"
"UKG23",,,"Stoke-on-Trent","7,893","8,172","8,642","9,191","9,406","9,680","10,112","10,398","10,824","10,909","11,449","11,605","12,016","12,474","12,733","13,048","13,586"
"UKG24",,,"Staffordshire CC","9,475","10,068","10,461","11,079","11,826","12,207","12,771","12,865","13,331","13,875","14,243","14,647","15,097","15,745","15,798","16,061","16,684"
,,,,,,,,,,,,,,,,,,,,
"UKG3",,"West Midlands",,"8,542","8,994","9,334","9,998","10,459","10,797","11,063","11,367","11,415","11,672","11,980","12,165","12,634","13,289","13,354","13,702","13,834"
"UKG31",,,"Birmingham","8,266","8,715","9,008","9,658","10,154","10,447","10,681","10,974","10,967","11,283","11,504","11,738","12,118","12,850","12,853","13,117","13,575"
"UKG32",,,"Solihull","10,828","11,352","11,824","12,787","14,166","14,772","15,323","15,649","16,071","16,250","16,578","16,777","17,357","18,096","18,393","19,139","18,721"
"UKG33",,,"Coventry","8,338","8,663","9,071","9,805","10,421","10,886","11,042","11,490","11,337","11,490","12,091","12,333","12,871","13,492","13,532","13,681","13,747"
"UKG36",,,"Dudley","8,980","9,443","9,803","10,516","10,673","10,902","11,282","11,694","11,796","12,142","12,441","12,559","13,236","13,894","14,034","14,776","14,833"
"UKG37",,,"Sandwell","7,834","8,216","8,584","9,213","9,436","9,689","9,963","10,285","10,363","10,549","10,805","10,847","11,275","11,887","11,990","12,309","12,100"
"UKG38",,,"Walsall","8,399","8,942","9,233","9,748","9,985","10,371","10,572","10,719","10,812","11,039","11,354","11,522","12,019","12,555","12,595","12,831","12,613"
"UKG39",,,"Wolverhampton","8,476","9,004","9,343","9,869","10,119","10,451","10,676","10,839","10,936","11,152","11,531","11,711","12,164","12,674","12,767","13,088","13,257"
,,,,,,,,,,,,,,,,,,,,
"UKH","East of England",,,"10,646","11,120","11,530","12,413","13,200","13,694","14,119","14,334","14,901","15,363","15,946","16,399","16,926","17,651","17,758","18,281","18,523"
,,,,,,,,,,,,,,,,,,,,
"UKH1",,"East Anglia",,"9,832","10,235","10,674","11,433","12,109","12,535","12,933","13,144","13,777","14,146","14,689","15,197","15,656","16,459","16,573","17,037","17,200"
"UKH11",,,"Peterborough","9,479","10,070","10,791","11,612","12,027","12,263","12,441","12,394","12,697","13,324","13,888","14,044","14,106","14,739","14,806","15,245","15,859"
"UKH12",,,"Cambridgeshire CC","10,742","11,254","12,043","12,853","13,145","13,806","14,124","14,542","15,521","16,145","16,612","16,911","17,377","18,073","18,013","18,490","18,820"
"UKH14",,,"Suffolk","9,669","9,982","10,223","11,179","12,033","12,440","12,970","13,171","13,760","14,121","14,563","15,306","15,887","16,594","16,617","17,135","17,184"
"UKH15",,,"Norwich and East Norfolk","9,223","9,620","9,934","10,511","11,336","11,635","12,000","12,133","12,596","12,754","13,461","13,987","14,316","15,220","15,624","16,036","16,049"
"UKH16",,,"North and West Norfolk","9,368","9,683","10,075","10,611","11,492","11,850","12,256","12,365","12,859","12,973","13,634","14,202","14,828","15,940","16,315","16,729","16,862"
"UKH17",,,"Breckland and South Norfolk","9,724","10,084","10,298","10,807","11,642","11,934","12,304","12,433","12,937","13,086","13,734","14,228","14,622","15,620","15,784","16,197","16,189"
,,,,,,,,,,,,,,,,,,,,
"UKH2",,"Bedfordshire and Hertfordshire",,"11,586","12,155","12,423","13,596","14,460","15,007","15,447","15,662","16,216","16,854","17,536","17,842","18,459","19,207","19,230","19,842","20,138"
"UKH21",,,"Luton","8,776","8,784","8,858","9,806","10,485","11,001","11,308","11,564","11,672","11,826","12,164","12,311","12,535","13,189","13,322","13,829","13,337"
"UKH23",,,"Hertfordshire","12,215","12,964","13,272","14,555","15,648","16,136","16,639","16,851","17,418","18,194","19,028","19,331","20,070","20,767","20,753","21,452","21,889"
"UKH24",,,"Bedford","10,854","11,176","11,428","12,258","12,535","13,174","13,474","13,697","14,433","14,964","15,460","15,850","16,312","17,270","17,449","17,755","17,465"
"UKH25",,,"Central Bedfordshire","11,495","11,882","12,133","13,215","13,578","14,340","14,679","14,845","15,570","16,052","16,464","16,848","17,356","18,317","18,364","18,889","19,570"
,,,,,,,,,,,,,,,,,,,,
"UKH3",,"Essex",,"10,815","11,293","11,801","12,567","13,422","13,958","14,415","14,645","15,145","15,561","16,102","16,622","17,151","17,744","17,923","18,433","18,721"
"UKH31",,,"Southend-on-Sea","9,797","10,482","10,892","11,924","12,788","13,405","13,907","13,794","14,093","14,463","14,949","15,168","15,679","16,541","16,610","17,185","16,912"
"UKH32",,,"Thurrock","9,502","9,942","9,977","10,437","11,024","11,825","12,429","12,542","12,986","13,379","13,976","14,470","14,918","15,500","15,549","15,923","16,568"
"UKH34",,,"Essex Haven Gateway","11,377","11,807","12,353","13,092","13,933","14,398","14,803","15,113","15,615","16,036","16,593","17,146","17,585","18,090","18,259","18,785","19,112"
"UKH35",,,"West Essex","10,862","11,292","11,872","12,644","13,553","14,099","14,547","14,843","15,404","15,780","16,259","16,805","17,417","18,005","18,544","19,048","19,393"
"UKH36",,,"Heart of Essex","10,996","11,520","12,166","12,935","13,866","14,370","14,792","14,979","15,503","15,970","16,519","17,119","17,818","18,412","18,501","19,039","19,307"
"UKH37",,,"Essex Thames Gateway","10,975","11,425","11,952","12,743","13,616","14,114","14,591","14,918","15,468","15,903","16,471","17,026","17,512","18,102","18,203","18,698","19,023"
,,,,,,,,,,,,,,,,,,,,
"UKI","London",,,"12,228","13,047","13,667","14,932","15,554","15,736","16,311","16,811","17,554","18,449","19,461","20,192","20,841","21,682","21,601","22,383","22,516"
,,,,,,,,,,,,,,,,,,,,
"UKI3",,"Inner London - West",,"18,968","20,571","21,745","24,332","24,709","24,188","24,911","25,926","27,827","30,332","32,967","35,234","37,315","37,825","36,583","38,532","39,602"
"UKI31",,,"Camden and City of London","19,109","20,991","21,861","24,389","24,592","24,223","25,063","26,106","28,151","30,771","33,441","35,863","37,360","37,414","35,021","36,318","37,324"
"UKI32",,,"Westminster","20,028","21,605","22,836","25,346","25,456","24,832","25,322","26,111","27,477","29,905","32,700","35,460","38,605","39,753","39,570","42,221","43,577"
"UKI33",,,"Kensington & Chelsea and Hammersmith & Fulham","18,716","20,214","21,363","23,781","24,162","23,617","24,391","25,338","27,322","29,925","32,559","34,960","37,447","38,746","38,028","40,632","42,116"
"UKI34",,,"Wandsworth","18,411","19,944","21,324","24,202","24,908","24,369","25,114","26,359","28,463","30,810","33,289","34,917","36,196","35,705","34,007","35,237","35,734"
,,,,,,,,,,,,,,,,,,,,
"UKI4",,"Inner London - East",,"10,237","10,816","11,551","12,662","13,098","13,322","13,867","14,416","15,206","16,196","17,021","17,538","18,071","19,032","19,112","19,731","19,841"
